Gene,Sample_01-a01va,Sample_02-a01vb,Sample_03-a01vc,Sample_04-a01ca,Sample_05-a01cb,Sample_06-a01cc,Sample_07-a02vb,Sample_08-a02vc,Sample_09-a02ca,Sample_10-a02cb,Sample_11-a02cc,Sample_12-a04va,Sample_13-a04vb,Sample_14-a04vc,Sample_15-a04ca,Sample_16-a04cb,Sample_17-a04cc,Sample_18-a05va,Sample_19-a05vb,Sample_20-a05vc,Sample_21-a05ca,Sample_22-a05cb,Sample_23-a05cc,Sample_24-a06ca,Sample_25-a06cb,Sample_26-a07va,Sample_27-a07vb,Sample_28-a07vc,Sample_29-a07ca,Sample_30-a07cb,Sample_31-a07cc,Sample_32-a08va,Sample_33-a08vb,Sample_34-a08vc,Sample_35-a08ca,Sample_36-a08cc,Sample_37-a09va,Sample_38-a09vb,Sample_39-a09vc,Sample_40-a09ca,Sample_41-a09cb,Sample_42-a09cc,Sample_43-a10va,Sample_44-a10vb,Sample_45-a10vc,Sample_46-a10ca,Sample_47-a10cb,Sample_48-a10cc,Sample_49-a12va,Sample_50-a12vb,Sample_51-a13va,Sample_52-a13vb,Sample_53-a13vc,Sample_54-a13ca,Sample_55-a13cb,Sample_56-a13cc,Sample_57-a14va,Sample_58-a14vb,Sample_59-a14vc,Sample_60-a14ca,Sample_61-a14cb,Sample_62-a14cc,Sample_63-a17va,Sample_64-a17vb,Sample_65-a17vc,Sample_66-a17ca,Sample_67-a17cb,Sample_68-a17cc,Sample_69-arva,Sample_70-arvb,Sample_71-arvc,Sample_72-arca,Sample_73-arcb,Sample_74-arcc
PkV-RF01_g972,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,2,10,11,0,0,0,0,0,11,38,26,0,0,0,89,64,31,0,0,48,58,10,0,0,0,53,31,73,0,0,0,101,128,133,115,51,0,0,0,68,64,104,0,0,0,70,67,48,0,0,0,0,1,0,0,0,0
PkV-RF01_g973,0,0,0,0,0,0,0,0,0,0,0,3,7,2,0,0,0,3,8,7,0,0,0,0,0,5,8,4,0,0,0,4,14,7,0,0,7,10,4,0,0,0,12,6,8,0,0,0,34,31,29,43,16,0,0,0,39,23,26,0,0,0,16,15,9,0,0,0,0,0,0,0,0,0
PkV-RF01_g974,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,3,5,4,0,0,0,0,0,2,12,0,0,0,0,12,16,1,0,0,5,5,0,0,0,0,2,0,1,0,0,0,8,24,43,95,16,0,0,0,94,36,56,0,0,0,62,33,37,0,0,0,0,0,0,0,0,0
PkV-RF01_g975,0,0,0,0,0,0,2,3,0,0,0,17,22,6,0,0,0,10,19,34,0,0,0,0,0,16,17,14,0,0,0,15,20,21,0,0,12,5,7,0,0,0,17,9,17,0,0,0,14,25,21,52,14,0,0,0,46,24,44,0,0,0,39,30,43,0,0,0,0,0,0,0,0,0
PkV-RF01_g976,0,0,0,0,0,0,0,1,0,0,0,87,147,35,0,0,0,127,178,205,0,0,0,0,0,82,174,83,0,0,0,167,222,87,0,0,75,176,66,0,0,0,72,57,95,0,0,0,50,74,81,83,43,0,0,0,37,79,70,0,0,0,192,204,130,0,0,0,0,0,0,0,0,0
PkV-RF01_g977,0,0,0,0,0,0,0,0,0,0,0,15,24,5,0,0,0,41,51,60,0,0,0,0,0,38,34,28,0,0,0,45,66,25,0,0,26,57,18,0,0,1,19,9,25,0,0,0,21,15,24,34,10,0,0,0,8,14,20,0,0,0,38,52,41,0,0,0,0,0,0,0,0,0
PkV-RF01_g978,0,0,0,0,0,0,0,0,0,0,0,163,229,74,0,0,0,223,369,409,0,0,0,0,0,181,360,214,0,0,0,322,323,151,0,0,120,264,118,0,0,0,143,123,200,0,0,0,98,158,191,101,110,0,0,0,102,120,162,0,0,0,353,367,294,0,0,0,0,0,0,0,0,0
PkV-RF01_g979,0,0,0,0,0,0,1,3,0,0,0,67,90,31,0,0,0,60,89,124,0,0,0,0,0,47,101,51,0,0,0,108,106,39,0,0,57,54,30,0,0,0,36,37,70,0,0,0,29,52,59,78,24,0,0,0,46,40,45,0,0,0,177,187,127,0,0,0,0,0,0,0,0,0
PkV-RF01_g980,0,0,0,0,0,0,0,0,0,0,0,29,27,5,0,0,0,27,36,39,0,0,0,0,0,21,55,21,0,0,0,48,71,28,0,0,38,26,24,0,0,0,28,25,45,0,0,0,16,59,52,54,26,0,0,0,41,43,21,0,0,0,45,48,39,0,0,0,0,0,0,0,0,0
PkV-RF01_g981,0,0,0,0,0,0,0,0,0,0,0,12,20,2,0,0,0,34,59,56,0,0,0,0,0,88,155,89,0,0,0,348,347,118,0,0,174,315,136,0,0,0,274,142,331,0,0,0,348,539,557,492,235,0,0,0,275,331,386,0,0,0,249,249,165,0,0,0,0,0,0,0,0,0
