"","Sample_01-a01va","Sample_02-a01vb","Sample_03-a01vc","Sample_04-a01ca","Sample_05-a01cb","Sample_06-a01cc","Sample_07-a02vb","Sample_08-a02vc","Sample_09-a02ca","Sample_10-a02cb","Sample_11-a02cc","Sample_12-a04va","Sample_13-a04vb","Sample_14-a04vc","Sample_15-a04ca","Sample_16-a04cb","Sample_17-a04cc","Sample_18-a05va","Sample_19-a05vb","Sample_20-a05vc","Sample_21-a05ca","Sample_22-a05cb","Sample_23-a05cc","Sample_24-a06ca","Sample_25-a06cb","Sample_26-a07va","Sample_27-a07vb","Sample_28-a07vc","Sample_29-a07ca","Sample_30-a07cb","Sample_31-a07cc","Sample_32-a08va","Sample_33-a08vb","Sample_34-a08vc","Sample_35-a08ca","Sample_36-a08cc","Sample_37-a09va","Sample_38-a09vb","Sample_39-a09vc","Sample_40-a09ca","Sample_41-a09cb","Sample_42-a09cc","Sample_43-a10va","Sample_44-a10vb","Sample_45-a10vc","Sample_46-a10ca","Sample_47-a10cb","Sample_48-a10cc","Sample_49-a12va","Sample_50-a12vb","Sample_51-a13va","Sample_52-a13vb","Sample_53-a13vc","Sample_54-a13ca","Sample_55-a13cb","Sample_56-a13cc","Sample_57-a14va","Sample_58-a14vb","Sample_59-a14vc","Sample_60-a14ca","Sample_61-a14cb","Sample_62-a14cc","Sample_63-a17va","Sample_64-a17vb","Sample_65-a17vc","Sample_66-a17ca","Sample_67-a17cb","Sample_68-a17cc","Sample_69-arva","Sample_70-arvb","Sample_71-arvc","Sample_72-arca","Sample_73-arcb","Sample_74-arcc"
"gene_708",0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,0,0,10,17,10,0,0,0,0,0,9,29,8,0,0,0,35,40,21,0,0,25,26,7,0,0,0,19,6,16,0,0,0,18,48,42,50,16,0,0,0,25,19,20,0,0,0,19,15,13,0,0,0,0,0,0,0,0,0
"gene_709",0,0,0,0,0,0,1,6,0,0,0,128,167,53,0,0,0,137,274,254,0,0,0,0,0,135,220,155,0,0,0,241,284,105,0,0,104,161,62,0,0,0,130,122,142,0,0,0,52,137,115,174,65,0,0,0,114,77,104,0,0,0,296,385,246,0,0,0,0,0,0,0,0,0
"gene_710",0,0,0,0,0,0,0,0,0,0,0,20,18,9,0,0,0,30,40,34,0,0,0,0,0,35,30,20,0,0,0,45,61,14,0,0,19,28,17,0,0,0,23,22,32,0,0,0,12,20,21,41,15,0,0,0,31,8,21,0,0,0,44,24,25,0,0,0,0,0,0,0,0,0
"gene_711",0,0,0,0,0,0,0,2,0,0,0,81,65,19,0,0,0,56,90,110,0,0,0,0,0,48,80,59,0,0,0,111,100,37,0,0,60,94,33,0,0,0,53,22,61,0,0,0,30,65,61,95,25,0,0,0,53,47,45,0,0,0,142,184,95,0,0,0,0,0,0,0,0,0
"gene_712",0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,5,8,0,0,0,0,0,6,20,3,0,0,0,13,21,6,0,0,7,10,10,0,0,0,13,3,12,0,0,0,9,26,34,28,7,0,0,0,19,10,22,0,0,0,17,11,15,0,0,0,0,0,0,0,0,0
"gene_713",0,0,0,0,0,0,0,0,0,0,0,3,7,2,0,0,0,3,10,2,0,0,0,0,0,8,4,1,0,0,0,5,9,7,0,0,4,8,2,0,0,0,3,7,7,0,0,0,3,14,8,19,3,0,0,0,3,6,7,0,0,0,7,8,4,0,0,0,0,0,0,0,0,0
"gene_714",0,0,0,0,0,0,7,32,0,0,0,677,798,276,0,0,0,512,812,902,0,0,0,0,0,253,544,358,0,0,0,480,657,257,0,0,219,378,142,0,0,4,251,208,288,0,0,0,203,352,291,274,157,0,0,0,222,325,301,0,0,0,1571,2001,1228,0,0,0,0,0,0,0,0,0
"gene_715",0,0,0,0,0,0,0,0,0,0,0,35,50,15,0,0,0,50,85,107,0,0,0,0,0,23,102,55,0,0,0,105,113,41,0,0,48,64,33,0,0,1,64,47,90,0,0,0,51,95,143,100,47,0,0,0,95,56,97,0,0,0,120,106,90,0,0,0,0,0,0,0,0,0
"gene_716",3,0,0,0,0,0,5,5,0,0,0,50,67,26,0,0,0,54,77,71,0,0,0,0,0,27,77,58,0,0,0,91,97,37,0,0,43,93,24,0,0,0,27,42,50,0,0,0,35,77,57,50,28,0,0,0,44,75,57,0,0,0,117,128,91,0,0,0,0,0,0,0,0,0
"gene_717",0,0,0,0,0,0,5,0,0,0,0,18,38,15,0,0,0,32,46,55,0,0,0,0,0,27,56,31,0,0,0,47,51,33,0,0,51,49,10,0,0,0,38,24,39,0,0,0,34,55,50,84,18,0,0,0,49,28,38,0,0,0,52,74,32,0,0,0,0,0,0,0,0,0
